name,breed_group,adaptability,friendliness,health_and_needs,trainability,physical_needs,height_od,height_do,weight_od,weight_do,life_od,life_do
cheagle,Mixed Breed Dogs,3,3,3,3,4,22,35,4,9,10,14
chesapeake-bay-retriever,Sporting Dogs,3,3,4,3,5,,,24,36,10,12
chi-chi,Mixed Breed Dogs,3,3,3,3,4,12,30,1,4,11,20
chi-poo,Mixed Breed Dogs,4,4,2,4,3,12,38,2,9,12,15
chigi,Mixed Breed Dogs,3,4,3,3,4,17,30,4,9,12,14
chihuahua,Companion Dogs,3,4,2,3,3,15,22,1,2,10,18
chilier,Mixed Breed Dogs,3,4,3,3,4,20,30,2,5,12,16
chinese-crested,Companion Dogs,3,4,2,3,2,27,33,5,5,10,14
chinese-shar-pei,Working Dogs,3,2,3,3,2,45,50,18,24,8,12
chinook,Working Dogs,3,5,3,3,3,53,68,24,31,12,15
chion,Mixed Breed Dogs,3,3,3,3,3,12,27,1,4,10,15
chipin,Mixed Breed Dogs,3,3,3,3,4,20,30,2,6,10,14
chiweenie,Mixed Breed Dogs,3,3,3,3,4,15,25,2,5,12,16
chorkie,Mixed Breed Dogs,3,3,2,3,4,15,22,3,6,12,15
chow-chow,Working Dogs,3,1,3,2,2,43,50,18,31,12,15
chow-shepherd,Mixed Breed Dogs,3,3,3,3,5,55,66,20,40,12,15
chug,Mixed Breed Dogs,3,4,3,3,4,25,35,4,9,10,13
chusky,Mixed Breed Dogs,3,4,3,3,4,45,58,18,29,10,13
cirneco-delletna,Companion Dogs,3,4,3,3,3,43,50,7,11,12,14
clumber-spaniel,Sporting Dogs,4,4,4,4,3,,,24,38,12,12
cockalier,Mixed Breed Dogs,3,4,3,3,4,30,38,4,12,12,15
cockapoo,Hybrid Dogs,4,5,2,3,4,25,38,2,8,12,15
cocker-spaniel,Sporting Dogs,4,4,3,4,3,,,10,12,12,15
collie,Herding Dogs,4,5,3,3,3,55,66,22,31,10,14
corgi-inu,Mixed Breed Dogs,3,3,3,3,4,22,38,7,12,12,15
corgidor,Mixed Breed Dogs,3,4,4,3,4,30,58,18,24,10,15
corman-shepherd,Mixed Breed Dogs,3,4,3,3,4,30,38,9,31,10,15
coton-de-tulear,Companion Dogs,4,5,2,3,3,20,30,3,5,14,14
croatian-sheepdog,Herding Dogs,3,3,3,4,4,40,53,13,20,12,14
curly-coated-retriever,Sporting Dogs,3,4,3,4,4,,,29,45,9,12
dachsador,Mixed Breed Dogs,3,4,3,3,4,38,63,13,18,12,14
dachshund,Hound Dogs,3,3,3,4,3,20,22,7,14,12,15
dalmatian,Companion Dogs,3,4,4,3,5,48,60,21,24,13,16
dandie-dinmont-terrier,Terrier Dogs,3,4,2,3,3,20,27,8,10,12,15
daniff,Mixed Breed Dogs,3,4,3,3,4,68,83,52,86,8,12
danish-swedish-farmdog,Working Dogs,3,5,3,4,4,30,38,6,9,11,13
deutscher-wachtelhund,Sporting Dogs,3,4,3,3,4,45,53,18,24,12,14
doberdor,Mixed Breed Dogs,2,3,3,3,5,60,71,27,45,10,14
doberman-pinscher,Working Dogs,3,3,4,3,4,60,71,27,36,10,13
docker,Mixed Breed Dogs,3,3,3,4,3,22,38,9,13,12,14
dogo-argentino,Sporting Dogs,2,3,3,3,4,58,68,36,45,9,15
dogue-de-bordeaux,Working Dogs,3,3,4,3,3,58,68,45,45,8,12
dorgi,Mixed Breed Dogs,3,4,3,3,4,22,22,6,12,12,15
dorkie,Mixed Breed Dogs,3,4,2,3,2,12,25,2,5,13,16
doxiepoo,Mixed Breed Dogs,3,3,2,4,4,20,58,2,13,10,15
doxle,Mixed Breed Dogs,3,5,3,4,5,12,38,4,13,12,14
