name,breed_group,adaptability,friendliness,health_and_needs,trainability,physical_needs,height_od,height_do,weight_od,weight_do,life_od,life_do
kyi-leo,Mixed Breed Dogs,4,4,2,3,3,20,30,3,6,13,15
lab-pointer,Mixed Breed Dogs,3,4,3,4,4,55,71,15,36,10,15
labernese,Mixed Breed Dogs,3,4,3,3,4,60,71,29,49,6,12
labmaraner,Mixed Breed Dogs,3,4,3,4,4,53,60,27,45,10,12
labrabull,Mixed Breed Dogs,3,4,4,4,5,50,60,20,40,10,14
labradane,Mixed Breed Dogs,3,4,4,3,4,60,76,45,81,8,12
labradoodle,Hybrid Dogs,4,5,3,3,5,53,60,22,29,12,14
labrador-retriever,Sporting Dogs,3,5,4,4,5,53,60,24,36,10,12
labrastaff,Mixed Breed Dogs,3,4,4,3,4,43,60,18,36,10,14
labsky,Mixed Breed Dogs,2,4,3,4,5,50,71,18,27,10,12
lagotto-romagnolo,Sporting Dogs,3,3,2,3,4,35,48,10,15,14,17
lakeland-terrier,Terrier Dogs,3,4,3,3,4,33,35,6,7,12,15
lancashire-heeler,Herding Dogs,3,3,3,3,4,25,30,5,6,9,14
leonberger,Working Dogs,2,4,4,3,4,63,78,54,77,10,12
lhasa-apso,Companion Dogs,4,3,2,3,4,22,27,5,6,12,15
lhasapoo,Mixed Breed Dogs,3,3,3,3,4,22,33,4,6,10,15
lowchen,Companion Dogs,3,5,3,4,4,30,35,4,8,13,15
maltese,Companion Dogs,3,4,2,3,3,20,25,3,3,12,15
maltese-shih-tzu,Hybrid Dogs,3,3,2,4,3,25,25,2,5,12,14
maltipoo,Hybrid Dogs,4,4,2,4,3,20,35,2,9,10,13
manchester-terrier,Terrier Dogs,3,3,3,3,4,38,40,5,9,14,16
mastador,Mixed Breed Dogs,3,4,4,3,4,71,91,38,72,10,12
mastiff,Working Dogs,2,4,4,2,4,68,81,58,99,6,10
miniature-pinscher,Companion Dogs,3,3,3,4,4,25,30,3,4,10,14
miniature-schnauzer,Terrier Dogs,4,4,2,4,4,33,35,4,9,12,14
morkie,Mixed Breed Dogs,3,3,2,4,4,10,20,3,5,10,14
mudi,Herding Dogs,3,3,3,4,4,35,50,8,13,12,14
mutt,Mixed Breed Dogs,3,3,3,3,3,,,,,8,15
neapolitan-mastiff,Working Dogs,2,3,4,2,3,60,78,54,90,8,10
newfoundland,Working Dogs,3,5,4,4,3,,,45,68,8,10
norfolk-terrier,Terrier Dogs,4,5,3,3,4,22,25,4,5,12,15
